Plot,Transect,Patch,Shrub_biomass,Forb_biomass,Grass_biomass,Total_biomass,Lat,Long,Elevation_mean,Slope_mean,Aspect_mean,LULC_RF,NDVI_mean,NDVI_min,NDVI_max,VHeight_mean,VHeight_min,VHeight_max,CC_mean,CC_min,CC_max,vrd_0_mean,vrd_0.5_mean,vrd_1_mean,vrd_1.5_mean,vrd_2_mean,vrd_2.5_mean
A1_2024_1,A1_2024,A1,0,64.5,38,102.5,42.00251903,-8.169151023,842.67,24.33,113.49,Agriculture,0.89,0.83,0.92,0.63,0,3.82,0.16,0,0.81,0.85,0,0,0.01,0.03,0.07
A1_2024_2,A1_2024,A1,0,89.6,22.2,111.8,42.00251903,-8.169151023,841.33,12.12,132.5,Agriculture,0.89,0.82,0.92,2.43,0,6.31,0.44,0,1,0.57,0,0,0.02,0.05,0.05
A1_2024_3,A1_2024,A1,0,41.4,26.3,67.7,42.00251903,-8.169151023,841.12,10.71,200.9,Agriculture,0.88,0.83,0.91,2.48,0,6.42,0.49,0,1,0.57,0,0,0.01,0.05,0.08
A1_2024_4,A1_2024,A1,0,41,42.6,83.6,42.00251903,-8.169151023,840.99,12.73,195.3,Agriculture,0.88,0.8,0.92,0.34,0,4.21,0.05,0,0.79,0.96,0,0,0,0.01,0.02
A2_2024_1,A2_2024,A2,0.1,65.1,82.5,147.7,42.003305,-8.165457034,806.78,6.27,59.62,Agriculture,0.91,0.86,0.92,0.1,0,1.56,0,0,0,0.96,0.01,0.03,0,0,0
A2_2024_2,A2_2024,A2,0,74.3,102.9,177.2,42.003305,-8.165457034,806.17,4.53,47.47,Agriculture,0.89,0.85,0.91,0,0,0.35,0,0,0,1,0,0,0,0,0
A2_2024_3,A2_2024,A2,0,49.4,71.1,120.5,42.003305,-8.165457034,806.09,4.11,185.44,Agriculture,0.89,0.79,0.92,0.12,0,2.17,0.01,0,0.13,0.95,0,0.01,0.02,0.01,0
A2_2024_4,A2_2024,A2,0,41.2,129,170.2,42.003305,-8.165457034,806.69,15.67,276.82,Agriculture,0.85,0.59,0.92,0.53,0,2.16,0.01,0,0.09,0.76,0.07,0.1,0.07,0.01,0
A3_2024_1,A3_2024,A3,20.14,13.9,23,57.04,42.00722899,-8.165572034,810.78,6.29,152.76,Agriculture,0.83,0.75,0.89,0.32,0,4.54,0.04,0,0.44,0.97,0,0,0,0,0.01
A3_2024_2,A3_2024,A3,64.12,45.2,36.3,145.62,42.00722899,-8.165572034,811.05,5.17,118,Agriculture,0.82,0.69,0.89,0.01,0,2.28,0,0,0,1,0,0,0,0,0
A3_2024_3,A3_2024,A3,62.97,22.9,37.2,123.07,42.00722899,-8.165572034,810.88,8.56,82.85,Agriculture,0.77,0.52,0.87,0.03,0,1.11,0,0,0,0.99,0.01,0,0,0,0
A3_2024_4,A3_2024,A3,110.68,26.4,70.6,207.68,42.00722899,-8.165572034,810.56,7.06,124.17,Agriculture,0.83,0.7,0.89,0.45,0,6.05,0.08,0,0.78,0.93,0,0,0,0,0
A4_2024_1,A4_2024,A4,119.05,25.3,43.5,187.85,42.01152899,-8.165535992,844.04,29.62,281.28,Agriculture,0.74,0.64,0.84,0.58,0,7.52,0.03,0,0.33,0.83,0,0.03,0.11,0.03,0
A4_2024_2,A4_2024,A4,74.01,19.3,64.6,157.91,42.01152899,-8.165535992,842.67,18.73,284.68,Agriculture,0.66,0.59,0.8,0.46,0,4.73,0.07,0,0.67,0.93,0,0,0,0.01,0.01
A4_2024_3,A4_2024,A4,80.36,13.5,32.9,126.76,42.01152899,-8.165535992,841.86,17.94,217.11,LowShrub,0.66,0.53,0.79,0.03,0,1.26,0,0,0,0.99,0,0,0,0,0
A4_2024_4,A4_2024,A4,114.45,0.6,36.3,151.35,42.01152899,-8.165535992,840.23,20.7,228.32,LowShrub,0.71,0.61,0.79,0.02,0,0.43,0,0,0,1,0,0,0,0,0
HS_0_1_1,HS_0_1,HS_0_1,592.35,4,49,645.35,42.03357398,-8.161378987,1029.36,25.3,244.62,HighShrub,0.75,0.65,0.84,2.07,0,14.05,0.14,0,0.52,0.32,0.08,0.27,0.22,0.09,0.01
HS_0_1_2,HS_0_1,HS_0_1,298.61,1.1,31.5,331.21,42.03357398,-8.161378987,1027.25,33.76,222.68,HighShrub,0.79,0.67,0.86,1.83,0,3.36,0.29,0,0.86,0.29,0.02,0.12,0.28,0.23,0.05
HS_0_1_3,HS_0_1,HS_0_1,682.01,0.3,36.2,718.51,42.03357398,-8.161378987,1024.72,24.29,200.24,HighShrub,0.81,0.67,0.88,1.97,0.87,2.89,0.36,0,0.84,0.19,0.03,0.14,0.29,0.31,0.04
HS_0_1_4,HS_0_1,HS_0_1,777.35,0.1,78.3,855.75,42.03357398,-8.161378987,1023.32,8.57,212.24,OakForest,0.79,0.68,0.85,2.14,0,3.94,0.5,0,1,0.25,0.08,0.07,0.11,0.22,0.18
HS_0_2_1,HS_0_2,HS_0_2,333.09,3.3,0,336.39,42.03468601,-8.163432973,1025.87,2.65,35.84,HighShrub,0.79,0.5,0.86,1.98,0,5.45,0.19,0,0.65,0.66,0.05,0.08,0.06,0.01,0
HS_0_2_2,HS_0_2,HS_0_2,29.48,0,12.2,41.68,42.03468601,-8.163432973,1025.67,3.81,48.96,HighShrub,0.72,0.48,0.85,3.41,1.25,4.58,0.74,0.03,1,0.16,0,0.02,0.1,0.04,0.07
HS_0_2_3,HS_0_2,HS_0_2,397.38,1.1,0.5,398.98,42.03468601,-8.163432973,1025.75,7.61,100.36,HighShrub,0.8,0.67,0.86,3.54,1.83,4.69,0.95,0.7,1,0.06,0,0,0.01,0.04,0.15
HS_0_2_4,HS_0_2,HS_0_2,902.45,1.3,12.9,916.65,42.03468601,-8.163432973,1026.3,10.48,115.43,HighShrub,0.72,0.53,0.83,1.63,0,3.16,0.36,0,1,0.39,0,0.06,0.2,0.2,0.13
HS_0_3_1,HS_0_3,HS_4.5,364.04,7.8,0.1,371.94,42.01298501,-8.165870011,856.58,9.02,134.8,Rock,0.63,0.43,0.76,0.06,0,0.69,0,0,0,0.99,0.01,0,0,0,0
HS_0_3_2,HS_0_3,HS_4.5,446.19,9.2,2.4,457.79,42.01298501,-8.165870011,856.04,10.26,62.6,Rock,0.7,0.45,0.77,0.07,0,0.59,0,0,0,0.98,0.01,0,0,0,0
HS_0_3_3,HS_0_3,HS_4.5,464.33,2.8,0.1,467.23,42.01298501,-8.165870011,855.44,17.54,84.77,Rock,0.71,0.48,0.77,0.07,0,1.07,0,0,0,0.98,0.01,0,0,0,0
HS_0_3_4,HS_0_3,HS_4.5,334.9,0.2,0,335.1,42.01298501,-8.165870011,854.28,22.29,81.51,Rock,0.66,0.36,0.78,0.04,0,0.63,0,0,0,0.98,0.01,0,0,0,0
HS_0_4_1,HS_0_4,HS_2.6,414.74,0.1,0,414.84,42.01371005,-8.16476603,851.41,18.76,46.74,OakForest,0.79,0.75,0.85,0.19,0,3.17,0.01,0,0.22,0.97,0.01,0,0,0,0
HS_0_4_2,HS_0_4,HS_2.6,464.81,0,0,464.81,42.01371005,-8.16476603,851.05,19.31,56.51,Rock,0.77,0.71,0.8,0.08,0,1.76,0,0,0.03,0.97,0.01,0.01,0,0,0
HS_0_4_3,HS_0_4,HS_2.6,387.21,0.1,0.1,387.41,42.01371005,-8.16476603,850.79,14.83,58.14,Rock,0.75,0.7,0.78,0.06,0,1.2,0,0,0,0.96,0.01,0.02,0,0,0
HS_0_4_4,HS_0_4,HS_2.6,283.93,0.6,0,284.53,42.01371005,-8.16476603,850.73,19.03,94.12,LowShrub,0.66,0.5,0.76,0.04,0,0.72,0,0,0,0.97,0.01,0,0,0,0
HS_0_5_1,HS_0_5,HS_3.8,342.22,0,0,342.22,42.00739998,-8.166136974,822.38,24.9,125.7,Rock,0.5,0.32,0.7,0.22,0,1.58,0,0,0,0.91,0.06,0.02,0,0,0
HS_0_5_2,HS_0_5,HS_3.8,83.31,1.1,2.7,87.11,42.00739998,-8.166136974,824.48,24.6,169.08,Rock,0.7,0.57,0.78,1.2,0,5.1,0.1,0,0.61,0.79,0.06,0.04,0.04,0.03,0.02
HS_0_5_3,HS_0_5,HS_3.8,227.54,0,26.3,253.84,42.00739998,-8.166136974,826.01,8.03,251.22,Rock,0.73,0.55,0.81,0.88,0,4.43,0.07,0,0.74,0.83,0.06,0.03,0.01,0.01,0.01
HS_0_5_4,HS_0_5,HS_3.8,138.96,0.1,0,139.06,42.00739998,-8.166136974,825.79,16.62,180.89,Rock,0.68,0.48,0.77,0.16,0,1.72,0,0,0,0.92,0.05,0.02,0,0,0
HS_0_6_1,HS_0_6,LS_1.3,393.73,0,0,393.73,42.00250001,-8.164509963,823.85,28.03,285.44,Rock,0.62,0.38,0.73,0.39,0,1.85,0,0,0,0.84,0.1,0.05,0.01,0,0
HS_0_6_2,HS_0_6,LS_1.3,569.41,0.1,0,569.51,42.00250001,-8.164509963,824.41,27.05,291.25,Rock,0.55,0.33,0.67,0.23,0,1.92,0,0,0,0.92,0.05,0.02,0,0,0
HS_0_6_3,HS_0_6,LS_1.3,170.52,0,0,170.52,42.00250001,-8.164509963,825.75,27.33,299.61,Rock,0.52,0.34,0.65,0.12,0,1.91,0,0,0,0.95,0.04,0,0,0,0
HS_0_6_4,HS_0_6,LS_1.3,478.1,0,1.2,479.3,42.00250001,-8.164509963,826.65,25.51,292.69,HighShrub,0.6,0.4,0.72,0.1,0,1.92,0,0,0.03,0.94,0.05,0.01,0,0,0
HS_0_7_1,HS_0_7,LS_2.8,348.39,0.1,17.6,366.09,42.01764602,-8.161305981,865.57,12.37,209.89,LowShrub,0.63,0.57,0.67,0.11,0,0.64,0,0,0,0.95,0.04,0,0,0,0
HS_0_7_2,HS_0_7,LS_2.8,455.12,0.1,0.1,455.32,42.01764602,-8.161305981,866.19,9.85,193.98,LowShrub,0.66,0.58,0.76,0.1,0,0.88,0,0,0,0.98,0.02,0,0,0,0
HS_0_7_3,HS_0_7,LS_2.8,337.96,0.1,0.9,338.96,42.01764602,-8.161305981,867.19,12.9,164.2,LowShrub,0.66,0.59,0.71,0.04,0,0.59,0,0,0,0.99,0,0,0,0,0
HS_0_7_4,HS_0_7,LS_2.8,598.34,0,0,598.34,42.01764602,-8.161305981,868.33,11.44,181.11,LowShrub,0.7,0.62,0.74,0.34,0,1.87,0,0,0,0.74,0.11,0.12,0.02,0,0
HS_0_8_1,HS_0_8,HS_3.5,839.98,0.8,45.7,886.48,42.02874802,-8.156627035,1013.21,5.79,64.94,HighShrub,0.72,0.51,0.87,2.53,0,4.83,0.53,0,1,0.47,0.01,0,0,0.03,0.1
HS_0_8_2,HS_0_8,HS_3.5,588.4,0,140.2,728.6,42.02874802,-8.156627035,1012.79,5.13,46.5,HighShrub,0.74,0.5,0.88,1.56,0,4.78,0.24,0,0.9,0.77,0,0,0,0,0
HS_0_8_3,HS_0_8,HS_3.5,203.14,0,227.1,430.24,42.02874802,-8.156627035,1012.59,5.3,328.82,HighShrub,0.8,0.64,0.87,0.93,0,3.7,0.1,0,0.72,0.79,0.09,0.01,0.01,0.02,0.02
HS_0_8_4,HS_0_8,HS_3.5,137.19,0.1,76.1,213.39,42.02874802,-8.156627035,1013.09,10.08,260.54,OakForest,0.67,0.46,0.85,1.14,0,4.44,0.18,0,0.9,0.77,0.01,0.01,0.03,0.04,0.07
HS_2021_1_1,HS_2021_1,HS_2021_1,461.9,0.7,0,462.6,42.00360902,-8.154214974,892.78,13.02,265.13,LowShrub,0.57,0.38,0.67,0.05,0,0.72,0,0,0,0.99,0,0,0,0,0
HS_2021_1_2,HS_2021_1,HS_2021_1,199.91,0.5,0,200.41,42.00360902,-8.154214974,891.72,15.57,240.47,Rock,0.52,0.39,0.63,0.05,0,0.67,0,0,0,0.99,0.01,0,0,0,0
HS_2021_1_3,HS_2021_1,HS_2021_1,229.54,0,0,229.54,42.00360902,-8.154214974,890.38,11.97,241.66,Rock,0.48,0.3,0.58,0.04,0,0.55,0,0,0,1,0,0,0,0,0
HS_2021_1_4,HS_2021_1,HS_2021_1,101.43,0.1,0.4,101.93,42.00360902,-8.154214974,889.3,13.51,244.85,Rock,0.45,0.27,0.6,0.15,0,1.69,0,0,0,0.94,0.04,0.01,0.01,0,0
HS_2022_1_1,HS_2022_1,HS_2022_1,297.28,1.5,17.6,316.38,41.99190604,-8.148379996,907,12.93,146.63,HighShrub,0.18,0.18,0.19,0.13,0,1.26,0,0,0,0.94,0.05,0.01,0,0,0
HS_2022_1_2,HS_2022_1,HS_2022_1,272.08,4.4,11,287.48,41.99190604,-8.148379996,903.01,9.83,138.89,HighShrub,0.19,0.18,0.21,0.09,0,1.51,0,0,0,0.97,0.01,0,0,0,0
HS_2022_1_3,HS_2022_1,HS_2022_1,236.57,8,22.2,266.77,41.99190604,-8.148379996,901,8.28,135,HighShrub,0.2,0.19,0.21,0.34,0,1.53,0,0,0,0.79,0.15,0.04,0,0,0
HS_2022_1_4,HS_2022_1,HS_2022_1,235.6,7.7,1,244.3,41.99190604,-8.148379996,901,8.28,135,HighShrub,0.22,0.19,0.22,0.11,0,1.45,0,0,0,0.95,0.04,0.01,0,0,0
HS_2023_1_1,HS_2023_1,HS_2023_1,94.17,8.7,26.6,129.47,42.01971803,-8.200457012,1040.16,26.58,286.23,HighShrub,0.5,0.41,0.58,0.01,0,0.31,0,0,0,1,0,0,0,0,0
HS_2023_1_2,HS_2023_1,HS_2023_1,45.05,4.6,20.2,69.85,42.01971803,-8.200457012,1039.14,22.88,304.74,HighShrub,0.46,0.4,0.53,0.01,0,0.36,0,0,0,1,0,0,0,0,0
HS_2023_1_3,HS_2023_1,HS_2023_1,26.56,11.1,15.1,52.76,42.01971803,-8.200457012,1038.86,23.8,300.69,HighShrub,0.48,0.3,0.65,0.02,0,1.21,0,0,0,0.99,0.01,0,0,0,0
HS_2023_1_4,HS_2023_1,HS_2023_1,152.11,8.6,22.5,183.21,42.01971803,-8.200457012,1037.97,23.23,297.01,Rock,0.39,0.28,0.54,0.21,0,1.69,0,0,0.03,0.85,0.07,0.03,0.02,0,0
LS_0_1_1,LS_0_1,LS_2.5,435.59,0.7,1.4,437.69,42.03473404,-8.19936703,931.63,8.24,117.94,Rock,0.61,0.36,0.7,0.03,0,0.41,0,0,0,1,0,0,0,0,0
LS_0_1_2,LS_0_1,LS_2.5,266.48,1.2,27.9,295.58,42.03473404,-8.19936703,932.48,12.7,122.11,Rock,0.64,0.53,0.7,0.04,0,0.49,0,0,0,1,0,0,0,0,0
LS_0_1_3,LS_0_1,LS_2.5,380.58,6.1,1,387.68,42.03473404,-8.19936703,933.2,11.49,134.85,LowShrub,0.64,0.52,0.73,0.02,0,0.3,0,0,0,0.99,0,0,0,0,0
LS_0_1_4,LS_0_1,LS_2.5,326.3,0.1,2.4,328.8,42.03473404,-8.19936703,934.38,18.73,100.47,LowShrub,0.67,0.58,0.75,0.72,0,5.98,0.07,0,0.69,0.93,0.01,0,0,0,0.01
LS_0_2_1,LS_0_2,LS_3.1,191.73,7.4,95.5,294.63,42.03483705,-8.195639011,941.34,21.32,330.23,LowShrub,0.67,0.44,0.8,0.02,0,0.95,0,0,0,0.98,0.02,0,0,0,0
LS_0_2_2,LS_0_2,LS_3.1,233.6,0.3,91.4,325.3,42.03483705,-8.195639011,939.64,19.27,347.88,LowShrub,0.7,0.58,0.8,0.03,0,0.7,0,0,0,0.99,0.01,0,0,0,0
LS_0_2_3,LS_0_2,LS_3.1,377.38,1.6,58.8,437.78,42.03483705,-8.195639011,938.16,19.66,350.99,LowShrub,0.72,0.53,0.79,0.03,0,0.5,0,0,0,1,0,0,0,0,0
LS_0_2_4,LS_0_2,LS_3.1,194.26,8.7,48.1,251.06,42.03483705,-8.195639011,936.64,19.52,266.92,LowShrub,0.74,0.67,0.78,0.12,0,10.44,0,0,0.05,1,0,0,0,0,0
LS_0_3_1,LS_0_3,LS_0_3,89.55,5.4,4.7,99.65,42.03368505,-8.162362017,1033.9,14.6,262.67,HighShrub,0.37,0.23,0.6,0.12,0,1.65,0,0,0,0.9,0.04,0.03,0,0,0
LS_0_3_2,LS_0_3,LS_0_3,97.99,12.8,75.4,186.19,42.03368505,-8.162362017,1034.11,14.09,258.23,HighShrub,0.47,0.27,0.72,0.06,0,0.86,0,0,0,0.98,0.01,0,0,0,0
LS_0_3_3,LS_0_3,LS_0_3,571.85,18.2,0,590.05,42.03368505,-8.162362017,1033.72,14.37,265.31,HighShrub,0.63,0.33,0.72,0.1,0,1.25,0,0,0,0.97,0.03,0,0,0,0
LS_0_3_4,LS_0_3,LS_0_3,451.12,0.2,0,451.32,42.03368505,-8.162362017,1033.69,19.42,280.24,HighShrub,0.66,0.45,0.78,0.34,0,1.49,0,0,0,0.74,0.19,0.04,0,0,0
LS_0_4_1,LS_0_4,R_1.7,363.93,0,55.9,419.83,42.02663804,-8.158048019,1023.61,11.06,276.94,Rock,0.58,0.41,0.77,0.03,0,0.8,0,0,0,0.99,0.01,0,0,0,0
LS_0_4_2,LS_0_4,R_1.7,188.82,3.1,6.3,198.22,42.02663804,-8.158048019,1023.89,14.7,259.98,Rock,0.59,0.37,0.75,0.22,0,2.29,0.02,0,0.37,0.82,0.04,0.05,0.06,0.02,0
LS_0_4_3,LS_0_4,R_1.7,252.93,1.2,0.7,254.83,42.02663804,-8.158048019,1024.17,21.29,261.62,Rock,0.62,0.33,0.72,0.01,0,0.25,0,0,0,0.99,0,0,0,0,0
LS_0_4_4,LS_0_4,R_1.7,220.73,1.1,4,225.83,42.02663804,-8.158048019,1024.29,22.16,256.91,Rock,0.59,0.29,0.72,0.02,0,0.65,0,0,0,0.98,0.01,0,0,0,0
LS_2021_1_1,LS_2021_1,LS_2.6,76.75,0.3,42.5,119.55,42.03230706,-8.165892977,1029.94,19.23,313.19,LowShrub,0.44,0.21,0.6,0,0,0.36,0,0,0,1,0,0,0,0,0
LS_2021_1_2,LS_2021_1,LS_2.6,137.65,0.9,30.7,169.25,42.03230706,-8.165892977,1030.42,19.96,303.74,LowShrub,0.42,0.2,0.66,0,0,0.18,0,0,0,1,0,0,0,0,0
LS_2021_1_3,LS_2021_1,LS_2.6,53.36,0.1,84.7,138.16,42.03230706,-8.165892977,1030.95,20.5,299.46,LowShrub,0.43,0.16,0.63,0,0,0.19,0,0,0,1,0,0,0,0,0
LS_2021_1_4,LS_2021_1,LS_2.6,90.47,0,28.6,119.07,42.03230706,-8.165892977,1030.87,17.92,294.1,LowShrub,0.44,0.16,0.61,0.01,0,0.25,0,0,0,1,0,0,0,0,0
LS_2021_2_1,LS_2021_2,LS_2021_2,119.51,0.4,0,119.91,42.01035603,-8.154002996,909.16,13.49,88.97,Rock,0.44,0.21,0.6,0,0,0.24,0,0,0,1,0,0,0,0,0
LS_2021_2_2,LS_2021_2,LS_2021_2,21.26,1.9,0,23.16,42.01035603,-8.154002996,909.03,17.53,67.57,Rock,0.42,0.2,0.66,0,0,0.18,0,0,0,1,0,0,0,0,0
LS_2021_2_3,LS_2021_2,LS_2021_2,86.94,0.3,0,87.24,42.01035603,-8.154002996,908.11,18.42,64.39,Rock,0.44,0.16,0.63,0.01,0,0.27,0,0,0,1,0,0,0,0,0
LS_2021_2_4,LS_2021_2,LS_2021_2,140.57,4,2.9,147.47,42.01035603,-8.154002996,907.52,15.23,72.74,Rock,0.44,0.17,0.66,0.02,0,0.48,0,0,0,0.99,0,0,0,0,0
LS_2022_1_1,LS_2022_1,LS_2022_1,320.79,4.6,228.8,554.19,42.04490505,-8.19146499,886,9.33,355.1,LowShrub,0.3,0.3,0.31,0.02,0,0.3,0,0,0,1,0,0,0,0,0
LS_2022_1_2,LS_2022_1,LS_2022_1,150.39,14,84,248.39,42.04490505,-8.19146499,885.93,9.34,355.04,LowShrub,0.3,0.3,0.3,0.06,0,0.69,0,0,0,0.98,0.02,0,0,0,0
LS_2022_1_3,LS_2022_1,LS_2022_1,171.18,27.6,79.4,278.18,42.04490505,-8.19146499,880.83,10.33,350.56,LowShrub,0.3,0.29,0.32,0.08,0,0.67,0,0,0,0.97,0.03,0,0,0,0
LS_2022_1_4,LS_2022_1,LS_2022_1,34.37,46.6,83.5,164.47,42.04490505,-8.19146499,880,10.5,335.31,LowShrub,0.29,0.29,0.29,0.1,0,0.88,0,0,0,0.94,0.06,0,0,0,0
LS_2022_2_1,LS_2022_2,LS_2022_2,110.87,23.9,127.3,262.07,41.994288,-8.148329034,934,15.85,110.22,LowShrub,0.14,0.14,0.14,0.01,0,0.4,0,0,0,1,0,0,0,0,0
LS_2022_2_2,LS_2022_2,LS_2022_2,115.11,14.5,109.4,239.01,41.994288,-8.148329034,933.76,15.97,110.3,LowShrub,0.13,0.12,0.14,0.07,0,0.5,0,0,0,1,0,0,0,0,0
LS_2022_2_3,LS_2022_2,LS_2022_2,224.31,10.9,4.8,240.01,41.994288,-8.148329034,932.63,16.5,110.65,LowShrub,0.12,0.12,0.12,0.04,0,0.47,0,0,0,1,0,0,0,0,0
LS_2022_2_4,LS_2022_2,LS_2022_2,222.9,4.3,7.6,234.8,41.994288,-8.148329034,931.44,17.06,111.02,LowShrub,0.12,0.12,0.12,0.06,0,0.74,0,0,0,0.99,0.01,0,0,0,0
LS_2023_1_1,LS_2023_1,LS_2023_1,124.27,3,37.6,164.87,42.01467204,-8.195677986,1188.89,15.77,302.37,HighShrub,0.48,0.34,0.62,0,0,0.25,0,0,0,1,0,0,0,0,0
LS_2023_1_2,LS_2023_1,LS_2023_1,43.51,6.6,46.1,96.21,42.01467204,-8.195677986,1187.66,13.53,298.79,LowShrub,0.43,0.21,0.55,0,0,0.1,0,0,0,1,0,0,0,0,0
LS_2023_1_3,LS_2023_1,LS_2023_1,68.24,1.8,35.9,105.94,42.01467204,-8.195677986,1186.34,13.48,298.79,HighShrub,0.38,0.14,0.54,0.01,0,0.28,0,0,0,1,0,0,0,0,0
LS_2023_1_4,LS_2023_1,LS_2023_1,53.36,10.6,49.4,113.36,42.01467204,-8.195677986,1185.33,14.79,312.4,LowShrub,0.41,0.15,0.56,0.01,0,0.32,0,0,0,1,0,0,0,0,0
